series,panel,drawing_index,pdf_x_pt,pdf_y_pt,age,value
wealth,A,209,183.42425537109375,129.94354248046875,46.24717046701491,96.94516434749312
wealth,A,210,185.11600494384766,127.65249633789062,46.7973040506943,101.89534861835983
wealth,A,211,186.43125534057617,126.5830078125,47.22500530497046,104.20615553659309
wealth,A,212,188.12225723266602,124.29153442382812,47.77489575322969,109.15726294333814
wealth,A,213,189.43775939941406,123.2225341796875,48.202678879637126,111.46701484913899
wealth,A,214,191.12850189208984,120.9310302734375,48.752484974791415,116.41818819416108
wealth,A,215,192.4445037841797,119.5555419921875,49.18043060497456,119.39015821609308
wealth,A,216,194.51126098632812,117.2650146484375,49.852511487703715,124.33922153625045
wealth,A,217,195.82675552368164,116.19549560546875,50.28029213313747,126.65009439276074
wealth,A,218,197.51800537109375,113.90402221679688,50.83026321304114,131.60120179950576
wealth,A,219,198.8335075378418,112.83453369140625,51.258046339448576,133.91200871773898
wealth,A,220,200.52450942993164,110.54302978515625,51.80793678770781,138.86318206276104
wealth,A,221,201.84000396728516,109.4735107421875,52.23571743314158,141.1740549192713
wealth,A,222,203.5315055847168,107.18252563476562,52.78577038517653,146.12410731358398
wealth,A,223,204.84675979614258,106.113525390625,53.21347287993952,148.43385921938489
wealth,A,224,206.5380096435547,103.822021484375,53.763443959843194,153.3850325644069
wealth,A,225,207.853759765625,102.75250244140625,54.191307717895064,155.6959054209172
wealth,A,226,209.9202537536621,100.76702880859375,54.863303007032435,159.9858497239634
wealth,A,227,211.23550415039062,99.697509765625,55.29100426130858,162.29672258047367
wealth,A,228,213.11500930786133,97.55853271484375,55.902193366644134,166.91833641694015
wealth,A,229,214.24275588989258,96.64202880859375,56.26892097139541,168.89859475246251
wealth,A,230,216.12200546264648,94.50350952148438,56.88002696411284,173.51921951477365
wealth,A,231,217.249755859375,93.5865478515625,57.24675580935095,175.50046692445133
wealth,A,232,219.5035057067871,91.44851684570312,57.97964411636875,180.12003667433015
wealth,A,233,220.25550842285156,90.8370361328125,58.22418500811063,181.4412419310184
wealth,A,234,222.1342544555664,88.69851684570312,58.83512725656551,186.06186669332953
wealth,A,235,223.45000076293945,87.78253173828125,59.26298977413055,188.04100407814252
wealth,A,236,225.3295135498047,85.7960205078125,59.87418136043977,192.3331902826075
wealth,A,237,226.64476776123047,85.03253173828125,60.30188385520277,193.98283409714193
wealth,A,238,228.90000915527344,82.89352416992188,61.03525719257404,198.60451387188542
wealth,A,239,229.8392562866211,82.28253173828125,61.34068738073584,199.92466411614132
wealth,A,240,231.71851348876953,80.29653930664062,61.951795854426955,204.2157293698969
wealth,A,241,232.65850830078125,79.8385009765625,62.25746917800891,205.20539696971892
wealth,A,242,234.5372543334961,77.69952392578125,62.86841142646379,209.82701080618543
wealth,A,243,235.85250854492188,76.78350830078125,63.296113921226784,211.80621412927542
wealth,A,244,237.73126983642578,74.79702758789062,63.907061131629014,216.09833439546335
wealth,A,245,238.67076873779297,74.3385009765625,64.2125731919221,217.08905700771774
wealth,A,246,240.92601013183594,72.20004272460938,64.94594652929338,221.70954989347484
wealth,A,247,241.8655014038086,72.81103515625,65.25145610861277,220.38939964921894
wealth,A,248,243.74449920654297,74.79702758789062,65.86248022919894,216.09833439546335
wealth,A,249,245.0602569580078,75.560546875,66.29034646822448,214.4486246426519
wealth,A,250,247.3157501220703,77.69952392578125,67.02380167772704,209.82701080618543
wealth,A,251,248.0675048828125,78.310546875,67.26826193782446,208.5067946236525
wealth,A,252,250.32225799560547,80.44952392578125,68.00147649288054,203.88518078718602
wealth,A,253,251.07400512695312,81.060546875,68.2459342720043,202.5649646046531
wealth,A,254,252.95326232910156,83.19903564453125,68.85704274569541,197.94440578061898
wealth,A,255,254.0810089111328,84.11553955078125,69.22377035044669,195.96414744509661
wealth,A,256,255.9595069885254,86.2545166015625,69.83463196725712,191.34253360863013
wealth,A,257,257.08652114868164,87.1705322265625,70.20112139853559,189.36333028554014
wealth,A,258,259.15377044677734,89.15652465820312,70.87336230406679,185.07226503178455
wealth,A,259,260.46900939941406,90.22601318359375,71.30105983688243,182.7614581135513
wealth,A,260,262.34852600097656,92.36453247070312,71.91225266367849,178.14083335124013
wealth,A,261,263.47628021240234,93.28152465820312,72.27898274940344,176.15952000328545
wealth,A,262,265.1672668457031,95.57302856445312,72.82886823571533,171.2083466582634
wealth,A,263,266.4825134277344,96.64202880859375,73.25656824950465,168.89859475246251
wealth,A,264,268.36253356933594,98.780517578125,73.86792482056326,164.27803592842838
wealth,A,265,269.4897766113281,99.697509765625,74.23448868105199,162.29672258047367
wealth,A,266,271.18077087402344,101.988525390625,74.78437664833754,157.34660424788396
wealth,A,267,272.49652099609375,103.05804443359375,75.21224040638941,155.0357313913737
wealth,A,268,274.5630111694336,105.34951782226562,75.88423445503994,150.08462398462868
wealth,A,269,275.8782653808594,106.41851806640625,76.31193694980294,147.7748720788278
wealth,A,270,277.5692672729492,108.71002197265625,76.86182739806218,142.82369873380574
wealth,A,271,278.884765625,109.779541015625,77.28960928398277,140.51282587729548
wealth,A,272,280.5762710571289,112.07052612304688,77.83966347650455,135.5627734829828
wealth,A,273,281.8917694091797,113.44601440429688,78.26744536242515,132.59080346105074
wealth,A,274,283.58251953125,115.73703002929688,78.81725393855311,127.64068512846106
wealth,A,275,284.8985137939453,116.8065185546875,79.24519708776259,125.3298782102278
wealth,A,276,286.5900115966797,119.09854125976562,79.7952487993107,120.37758391449637
wealth,A,277,287.9052734375,120.16754150390625,80.22295377504737,118.06783200869552
wealth,A,278,289.5967712402344,122.45852661132812,80.77300548659548,113.11777961438281
wealth,A,279,290.91226959228516,123.83349609375,81.20078737251607,110.14693054316012
wealth,A,280,292.60326385498047,126.12503051757812,81.75067533980163,105.19569125986106
wealth,A,281,294.2937698364258,127.49951171875,82.30040452477199,102.22589720107072
wealth,A,282,295.98502349853516,129.79049682617188,82.8503768451625,97.27584480675807
wealth,A,283,297.30076599121094,130.86001586914062,83.27823812224071,94.96497195024779
wealth,A,284,298.99151611328125,133.15151977539062,83.82804669836867,90.01379860522576
wealth,A,285,300.30726623535156,134.22100830078125,84.25591045642054,87.7029916869925
wealth,A,286,301.99851989746094,136.51303100585938,84.80588277681105,82.7506973912611
wealth,A,287,303.31451416015625,137.58251953125,85.23382592602053,80.43989047302784
wealth,A,288,305.0055160522461,139.87350463867188,85.78371637427976,75.4898380787152
wealth,A,289,306.3207702636719,141.24853515625,86.21141886904275,72.51885713093844
wealth,A,290,308.38826751708984,143.2340087890625,86.88374040621838,68.2289128278922
wealth,A,291,309.7032699584961,144.30352783203125,87.3113610288501,65.91803997138197
wealth,A,292,311.39501953125,146.59503173828125,87.8614946125295,60.96686662635989
wealth,A,293,312.71026611328125,147.66452026367188,88.28919462631882,58.65605970812669
wealth,A,294,314.40052032470703,149.95553588867188,88.83884193915789,53.70594137553695
wealth,A,295,315.7160186767578,151.0245361328125,89.26662382507848,51.3961894697361
wealth,A,296,317.5955123901367,153.16299438476562,89.87780920895352,46.77569658397897
wealth,A,297,318.72301483154297,154.08050537109375,90.2444574225472,44.79326228531488
wealth,A,298,320.6020202636719,156.21853637695312,90.85548402410703,40.17369253543609
wealth,A,299,321.91751861572266,157.134521484375,91.28326591002762,38.1945551506231
wealth,A,300,323.79676818847656,159.12103271484375,91.89437190274506,33.90236894615816
wealth,A,301,325.1125183105469,159.884521484375,92.32223566079693,32.25272513162372
wealth,A,302,327.36751556396484,162.02304077148438,93.0555296070106,27.63210036931258
wealth,A,303,328.30702209472656,162.634033203125,93.36104414827736,26.311950125056683
wealth,A,304,330.18627166748047,164.62002563476562,93.97215014099478,22.020884871301064
wealth,A,305,330.93751525878906,165.07852172851562,94.216444175856,21.03022819732371
wealth,A,306,333.5680236816406,166.45303344726562,95.07184916538199,18.06036820025639
wealth,A,307,333.94351959228516,167.21728515625,95.19395524674695,16.40907592879637
wealth,A,308,336.5745162963867,168.59201049804688,96.04951901858814,13.438754363789883
wealth,A,309,336.95076751708984,169.35552978515625,96.17187071634693,11.789044610978408
wealth,A,310,339.95702362060547,171.1890106201172,97.14946365936916,7.827505896639877
wealth,A,311,342.9645233154297,172.10577392578125,98.12746100110043,5.8466870857628805
wealth,A,312,343.3397750854492,172.7167739868164,98.24948769130779,4.526520356937681
wealth,A,313,346.91027069091797,174.24427032470703,99.41056352344206,1.226111777159474
alpha_mean,C,536,102.62100219726562,401.8290100097656,20.01603353508247,0.9628903792878654
alpha_mean,C,536,105.67500305175781,401.25701904296875,20.989577529830697,0.968147541499476
alpha_mean,C,536,108.72801208496094,401.25701904296875,21.962805355165138,0.968147541499476
alpha_mean,C,536,112.16400146484375,400.3990173339844,23.058118351519816,0.9760334250602414
alpha_mean,C,536,115.21800231933594,399.259033203125,24.031662346268035,0.9865110057258075
alpha_mean,C,536,118.27101135253906,397.8330078125,25.004890171602476,0.9996175882272285
