panel,age,cash,paper,canonical,difference
B,30,205,0.879815909962114,0.496680963752986,-0.383134946209129
B,30,210,0.862581458972452,0.48986173200854,-0.372719726963912
B,30,215,0.848751162432931,0.483341855362173,-0.365409307070758
B,30,220,0.830808723221039,0.477129232728062,-0.353679490492977
B,30,225,0.818619618848129,0.471203179579319,-0.347416439268809
B,30,230,0.800853756167241,0.465524010846866,-0.335329745320375
B,30,235,0.789960158657368,0.460078128583208,-0.32988203007416
B,30,240,0.770997669186429,0.454858628657429,-0.316139040529
B,30,245,0.760014341460218,0.449867507266345,-0.310146834193872
B,30,250,0.749120743950344,0.445069912632784,-0.30405083131756
B,30,255,0.731616352491469,0.440455246518523,-0.291161105972947
B,30,260,0.719174649484811,0.436014033143439,-0.283160616341372
B,30,265,0.711006877450759,0.431736852003939,-0.27927002544682
B,30,270,0.691197947942481,0.427615339682525,-0.263582608259956
B,30,275,0.681061060253609,0.423641036910825,-0.257420023342784
B,30,280,0.669138185363343,0.419805707518955,-0.249332477844388
B,30,285,0.651106093199811,0.416101928158657,-0.235004165041154
B,30,290,0.640212495689938,0.412522450187794,-0.227690045502144
B,30,295,0.621159998734278,0.409060524658089,-0.212099474076189
B,55,20,0.999611101291196,0.999999999534339,0.000388898243143032
B,55,25,0.999611101291196,0.999999999534339,0.000388898243143032
B,55,30,0.999611101291196,0.999999999534339,0.000388898243143032
B,55,35,0.999611101291196,0.999999999534339,0.000388898243143032
B,55,40,0.999611101291196,0.999999999534339,0.000388898243143032
B,55,45,0.999611101291196,0.999999999534339,0.000388898243143032
B,55,50,0.999611101291196,0.999999999534339,0.000388898243143032
B,55,55,0.999611101291196,0.999999999534339,0.000388898243143032
B,55,60,0.999611101291196,0.999999999534339,0.000388898243143032
B,55,65,0.999611101291196,0.999999999534339,0.000388898243143032
B,55,70,0.999611101291196,0.999999999534339,0.000388898243143032
B,55,75,0.999611101291196,0.999999999534339,0.000388898243143032
B,55,80,0.999611101291196,0.999999999534339,0.000388898243143032
B,55,85,0.999611101291196,0.965043058206666,-0.0345680430845294
B,55,90,0.999611101291196,0.918771373077789,-0.0808397282134069
B,55,95,0.999611101291196,0.877721763350143,-0.121889337941053
B,55,100,0.999611101291196,0.841178629148881,-0.158432472142315
B,55,105,0.999611101291196,0.808424423124382,-0.191186678166813
B,55,110,0.999611101291196,0.778944048173773,-0.220667053117422
B,55,115,0.999611101291196,0.752273117953239,-0.247337983337957
B,55,120,0.999611101291196,0.72805938412278,-0.271551717168416
B,55,125,0.999611101291196,0.70596102258466,-0.293650078706536
B,55,130,0.986612220081614,0.6857093067279,-0.300902913353715
B,55,135,0.95714446468633,0.667047027247527,-0.290097437438803
B,55,140,0.92532602459096,0.649840857380099,-0.275485167210861
B,55,145,0.901590535135112,0.633904717331079,-0.267685817804033
B,55,150,0.879816014822542,0.619086063072748,-0.260729951749795
B,55,155,0.852859658178592,0.605269679815785,-0.247589978362807
B,55,160,0.834277294333329,0.59235245072452,-0.241924843608809
B,55,165,0.812944131562523,0.580272825036864,-0.232671306525659
B,55,170,0.79435403816504,0.568932324475969,-0.225421713689071
B,55,175,0.779079155356152,0.558246661559654,-0.220832493796498
B,55,180,0.760014236875726,0.54816132025383,-0.211852916621897
B,55,185,0.740955051429168,0.538668342017461,-0.202286709411706
B,55,190,0.730065092016574,0.529647728585822,-0.200417363430752
B,55,195,0.716069875146024,0.521137595125612,-0.194932280020411
B,55,200,0.700108774329658,0.513017037366975,-0.187091736962684
B,55,205,0.684915330714538,0.505340895965341,-0.179574434749197
B,55,210,0.67016739342664,0.498002955794709,-0.172164437631931
B,55,215,0.659273865233863,0.491014248963076,-0.168259616270787
B,55,220,0.651106023882715,0.484356680558724,-0.166749343323991
B,55,225,0.640214713837004,0.477979300481736,-0.162235413355268
B,55,230,0.62932239040774,0.471867852998385,-0.157454537409355
B,55,235,0.621153094874302,0.466044799161919,-0.155108295712383
B,55,240,0.610263097758302,0.460455083956844,-0.149808013801458
B,55,245,0.599375440554929,0.455085691191503,-0.144289749363426
B,55,250,0.591211073361612,0.449924881797735,-0.141286191563877
B,55,255,0.580317570783158,0.444961907996859,-0.135355662786299
B,55,260,0.569427055834476,0.440186229286483,-0.129240826547993
B,55,265,0.56125457023791,0.435588240689378,-0.125666329548532
B,55,270,0.550365616973456,0.431165726310002,-0.119199890663454
B,55,275,0.53947437624484,0.426899163296093,-0.112575212948747
B,55,280,0.531304178112435,0.422780290339883,-0.108523887772553
B,55,285,0.520412868066724,0.418801129393643,-0.101611738673082
B,55,290,0.514370951081416,0.414954482265032,-0.0994164688163841
B,55,295,0.50535827783234,0.411233746515358,-0.094124531316982
B,75,20,0.99960888314413,0.999999999534339,0.000391116390209056
B,75,25,0.99960888314413,0.999999999534339,0.000391116390209056
