age,consumption,wealth,income,saving,alpha,cash,wealth_SE,alpha_p05,alpha_p95
58,42.7699149842159,406.559108424999,35.1485455138631,398.937738954646,0.370805323927767,441.707653938862,0.716259839092114,0.27503957064833,0.500072286707299
59,43.6272555017281,412.87029476028,35.1559813491377,404.399020607689,0.370513694489796,448.026276109418,0.742530582868111,0.272802586707042,0.502043742981712
60,44.4823737683684,418.270883611313,35.3330607725005,409.121570615446,0.37085520790269,453.603944383814,0.762495055220285,0.271131734384468,0.506525415175498
61,45.3290323599551,423.337737488643,35.3414881325996,413.350193261288,0.371660546613048,458.679225621242,0.781979439358986,0.269421721589348,0.511008103727881
62,46.2121982205718,427.965519216146,35.3785262058005,417.131847201374,0.373171344601287,463.344045421946,0.80647980490537,0.267767949019819,0.515495702438957
63,47.1139314583553,431.645900839684,35.4893303642947,420.021299745624,0.375407496770716,467.13523120398,0.8288519318221,0.266220365444567,0.522233811116935
64,48.0133581729722,434.633314234398,35.6658505637417,422.285806625168,0.378343912746801,470.29916479814,0.847089501334584,0.26495404356252,0.530459599849078
65,48.9220385587718,437.023617231752,35.9966089097581,424.098187582739,0.381920165125498,473.020226141511,0.863515635205784,0.263819278212346,0.539355499412206
66,48.8715292394353,439.053777241558,23.655353148525,413.837601150647,0.383740586594764,462.709130390083,0.885043085821774,0.263936919491182,0.547089123364589
67,48.8113804414107,428.437164586026,23.655353148525,403.281137293139,0.385623346131741,452.09251773455,0.871223444501725,0.264074124260624,0.55375243265317
68,48.7399813475255,417.517673468371,23.655353148525,392.433045269371,0.387750126379515,441.173026616896,0.86076174651711,0.264293367047422,0.561301703786381
69,48.6697832052849,406.538930540725,23.655353148525,381.524500483964,0.389951415099494,430.194283689249,0.858356317184093,0.264204482032891,0.569409003157288
70,48.5663986843396,394.89287491701,23.655353148525,369.981829381195,0.39241870426616,418.548228065534,0.838693681542276,0.264313486457462,0.577078310197663
71,48.4592701767871,383.177398222153,23.655353148525,358.373481193892,0.395074632424455,406.832751370679,0.823802573163385,0.264156984569306,0.586830952443201
